SC5314	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Mean
C1_07800W_A	9.661778098	8.426264755	9.453956489	10.5491429	8.960001932	9.231221181	8.244760234	10.31665866	8.312882955	9.253453575
C1_07810C_A	8.359017413	8.758223215	8.053473413	8.46624644	9.48984796	8.632995197	8.79224803	7.849665727	8.252665432	10.04530462
C1_07820W_A	9.105908509	9.068778278	9.105908509	10.11287386	10.06922597	9.347252251	9.559058368	9.866248611	9.204571144	9.905387005
C1_07830C_A	8.022367813	8.341333494	8.449836462	9.400167873	8.786814144	8.206200388	8.535275377	9.141255659	8.564784619	9.052568051
C1_07840W_A	10.7725895	11.48028532	10.63511347	11.75502664	10.85174904	10.95951902	11.39963397	11.61746747	11.36941559	10.51930863
C1_07850C_A	8.085693749	7.691161905	9.240791332	9.850186838	10.10197567	8.194756854	8.523561956	9.418555411	9.321928095	10.65403926
C1_07860W_A	6.815916936	6.06608919	8.183221824	8.725650281	9.010294981	6.837102265	7.156504486	7.95806932	8.276124405	9.361943774
C1_07870C_A	12.00562455	12.93442804	11.96434087	12.21916852	12.38846581	12.25483179	12.68650053	12.12066989	12.73435681	12.53389748
C1_07880C_A	11.30928686	11.41292263	10.86341196	12.24208242	11.77670718	10.96674576	11.67183589	11.76445696	10.69290605	11.96602471
CR_04200W_A	13.60037755	12.76238204	15.75157021	15.04086047	15.28021496	13.55290921	12.90920557	15.67412789	14.72371427	15.06538808
C1_07890C_A	13.54749706	13.57652371	11.13099949	11.79075575	10.93073734	13.31392226	12.92728414	11.344480860000001	11.71066296	11.33539035
C1_07900W_A	9.884679316	9.6079467180000009	9.122396631	7.26366044	7.787902559	9.19064778	8.46760555	8.426264755	8.763765654	7.122396631
C1_07910C_A	11.53932039	10.37105058	10.98037763	10.76680494	10.04439412	11.28231624	10.43358544	10.75544399	9.972501201	9.888235883
C1_07920W_A	10.52356196	10.21188829	9.184875343	9.427662038	8.886712714	10.44259798	10.5491429	9.741466986	9.845490051	8.967706597
C1_07930C_A	8.419257965	8.299208018	8.665335917	8.591210649	8.201307127	8.54303182	7.932706887	8.558420713	8.824428435	7.857980995
C1_07950C_A	9.496520937	7.888743249	8.686500527	9.535923342	8.591210649	9.445014846	7.813781191	9.626317447	7.193114628	8.87958325
C1_07960W_A	8.77807713	6.890770931	8.257387843	8.962896005	8.54303182	8.52617317	6.63420602	8.684164178	6.196397213	9.472352377
C1_07970C_A	9.99341019	10.40620501	11.24138736	11.17617315	11.02051702	10.24198315	10.86805085	10.55778278	11.6379833	11.11374217
C1_07980C_A	5.882643049	7.139551352	4.95419631	6.579944426	6.303780748	5.727920455	7.309855263	6.014950342	5.624490865	8.589963182
C1_07990C_A	7.641449692	7.612254193	8.907892119	8.770388596	9.966745761	8.59370235	9.275348554	8.536571016	9.653442239	9.401590649
C1_08000W_A	8.581200582	7.4150375	8.761551232	8.981091537	7.74819285	7.841302254	6.156504486	8.624490865	7.139551352	8.094517599
C1_08010W_A	11.73555602	11.81911464	11.84169538	13.55846057	13.43388966	11.70390357	11.9505559	13.58672253	12.06833044	13.96674576
C1_08020W_A	10.64685868	10.36814265	11.49818437	11.52731409	11.82721037	10.81217731	10.26013546	11.60455323	10.70937106	11.80654962
