gene_name	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean
C1_14270W_A	413.99999985671195	344.00000007103256	427.99999988099313	396.99999996066083	336.9999999575197	361.0000000282326	627.0000000860347	677.9999999359245	851.0000001852407	497.9999999764996	408.00000000806125	462.9999999164829	395.33333338132934	365.0000000588528	718.6666666510505	456.33333316355817
C1_14280C_A	11288.999962526072	11521.999980199778	11935.000033346148	5432.999993706012	6026.000010047696	4662.000002815025	2757.9999971057223	3004.000005175817	3201.9999944152737	2704.0000069681914	1960.000001355077	2420.999993289346	11581.999988040203	5373.666677359311	2987.999994223145	2361.6666714397393
C1_14290C_A	9955.999965626	8291.999993623554	9357.000012353403	5514.999998169898	4751.999997362412	3753.9999874297064	3049.000010546426	3329.999995479141	4294.000012325842	2780.0000046037308	2807.0000028941286	2063.000005882172	9201.666666933623	4673.666675902087	3557.666668645026	2549.9999969135106
C1_14300C_A	2284.000007341307	1125.000003037752	1583.9999999125923	754.9999998888242	1013.0000001396328	968.9999997212074	2029.999997083755	2191.999995501838	2182.0000055603487	2484.000003063934	2245.999996262725	2524.9999955780936	1664.3333326308473	912.333333558587	2134.666664010567	2418.33333629537
C1_14310W_A	1872.0000005405618	1546.9999984462017	1784.000000098548	1921.9999989691883	1972.000004950982	1673.9999970407628	2074.999998386754	2102.9999931025395	1874.999999648307	2476.999994426237	1958.0000005378583	2026.0000016835818	1734.333331823993	1856.0000062682875	2017.6666736746909	2153.666668186013
C1_14320C_A	2795.0000043967043	2435.000005114572	2855.99999202388	2052.000006248254	1114.000002053937	821.0000001264459	1184.000003587261	1305.9999986000926	2066.999995092242	1362.0000018767369	979.9999999982542	1165.0000003701314	2695.3333379095725	1329.000000666783	1518.9999952597989	1168.999996328049
C1_14330W_A	500.9999999322108	656.0000001736593	680.9999999943019	745.9999998680194	727.9999998997357	411.0000000906831	1046.0000027210876	1204.9999990667634	749.9999998007668	243.00000006640022	314.999999915441	133.99999995748126	612.6666668501747	628.333333143935	1000.333333418527	230.66666668016603
C1_14340C_A	2323.9999945157315	2166.000003590753	2576.0000033664405	1777.0000048915656	4102.0000100088	2286.999999347404	2036.9999929884593	2049.9999937580305	1131.9999977779846	2245.999996262725	2303.99999769661	2476.999994426237	2355.333328158836	2721.9999971623442	1739.6666716113996	2342.3333292700204
C1_14350W_A	1960.000001355077	1189.0000002096187	1557.0000009939315	1148.9999978925666	1131.9999977779846	876.9999997296511	1390.0000023018654	1592.9999983157772	1303.9999961756812	1876.9999937148532	1409.0000036041722	1640.9999960033113	1568.6666617703245	1052.6666702134507	1428.9999989145854	1642.3333383524134
C1_14360C_A	2191.999995501838	1206.999999368327	1400.9999995816322	1600.9999972076369	1654.9999980560485	1163.9999976535285	1042.9999981783292	1069.0000016890576	854.00000022465	2259.000007213598	2341.9999991863533	2297.9999957851333	1600.0000002498375	1473.3333297001423	988.666666849315	2299.6666595872216
C1_14370W_A	22.999999999091077	8.999999997240714	8	8	12.000000002319359	6.999999999720504	16	13.999999999441007	8.999999997240714	8.999999997240714	8	17.999999994481428	13.333333331797261	8.999999997240714	12.999999998728633	11.666666672943494
C1_14380C_A	298.99999995894257	543.9999999056042	461.99999986676414	1577.9999999852798	1645.0000015705455	986.9999996877617	1773.9999947112256	1828.0000062617864	1089.0000009685261	743.9999999442881	696.000000072978	604.999999932083	435.0000000795738	1403.3333360252266	1563.6666723299786	681.6666666156586
C1_14390W_A	1038.0000011814825	1272.0000041577043	1074.0000014997397	1535.9999992322032	1010.000000252618	948.9999999861143	1231.9999994065838	1415.0000022369716	2327.999995307057	828.999999715132	568.9999998790839	849.0000002630288	1127.999998124455	1165.0000003701314	1658.3333337963202	748.9999997618319
C1_14400C_A	519.9999999897442	635.999999874644	599.0000000876951	995.9999999529992	1724.0000010885153	834.999999790821	2684.9999946534786	2900.999999601862	1236.0000017953846	685.999999917828	715.0000001656539	580.9999998370885	584.9999998091082	1184.999996890568	2274.0000017460584	660.6666669115117
C1_14410W_A	1727.000002958039	1637.0000040007153	1569.9999958875487	1583.9999999125923	1340.999998229771	1208.0000005651261	1674.9999997300665	1943.999995141289	3336.9999972652586	1131.9999977779846	704.0000001769902	1001.9999998644216	1644.6666671466432	1377.6666689075105	2318.6666721544857	945.9999997774528
C1_14420W_A	3227.999992666034	2532.0000010032886	2919.000009100247	2088.000004964376	1918.0000066231776	1832.999999314054	7931.999987745699	8549.000008709949	9306.999987684821	1894.999995982677	1958.0000005378583	2430.000002538072	2893.00000415172	1946.3333264916296	8596.000015326023	2094.3333274903907
C1_14430C_A	944.9999999289722	684.0000000540972	759.999999825659	609.9999998096263	611.0000000767706	325.00000001896404	747.0000001091292	866.0000001640371	618.9999999080678	593.0000001866088	595.9999998090739	410.00000014054723	796.3333334795097	515.3333332605747	743.9999999442881	533.0000000889721
C1_14440C_A	5975.99998844629	5060.000001467212	5154.999991940813	4171.999992713317	5003.999985550816	2748.9999971171274	7390.00000495069	8063.000018045774	6662.000006121509	5375.999989645339	4386.000010112755	4162.000000763526	5396.9999926205255	3975.0000136135213	7371.666661225605	4641.333339759458
C1_14450C_A	2862.9999900788807	2950.0000017655357	2757.9999971057223	2726.000006036619	3296.000006435256	1571.00000512431	5734.000003018545	6189.000014552843	2992.9999927428767	1558.9999970847296	1677.9999994884408	995.9999999529992	2856.9999981456826	2530.9999962971087	4971.999996372791	1410.9999974597958
C1_14460W_A	8877.999979538175	7133.999997691657	7268.999999130847	8276.000000803053	8920.999982348574	7208.999980756835	14323.999967031712	15484.999972500804	15328.000045301203	10710.000002690183	7955.9999954021705	10162.999990071005	7760.333348502313	8135.333310320261	15045.666637466105	9609.666644406392
C1_14470W_A	3046.99999010205	1934.9999986161451	2144.999996451144	2457.9999993650754	2561.999999393289	1901.999998865463	3268.9999959955544	3591.9999881955655	3151.0000021457977	2436.0000035351713	1816.9999946673506	1697.9999958182016	2375.666669453108	2307.333340619377	3337.3333218429502	1983.666664270149
C1_14480W_A	718.0000000880635	415.99999995931626	502.0000000171294	566.0000000659562	503.0000000678037	413.99999985671195	740.9999998429172	789.9999999646997	708.9999998822916	594.9999999194513	422.9999999648304	372.9999999340097	545.3333332499501	494.3333334246575	746.6666665508342	463.6666667241685
C1_14490C_A	392.999999929554	361.999999979122	371.99999997214405	372.9999999340097	631.9999999224165	363.99999994986786	1360.0000036409117	1588.000003144797	687.0000000866195	531.0000000720834	539.0000000924656	403.00000013185695	375.66666680960526	456.33333316355817	1211.6666682743328	490.99999989289887
C1_14500C_A	6089.999988207071	4750.000006236978	5217.000007131974	4400.000004843089	5728.000010861853	3686.000011163266	5412.999989814651	6210.9999894665925	4895.999990862086	4568.000014682614	3507.00001153978	4221.999990204655	5352.333326675225	4604.666674357155	5506.666683515928	4098.999986831617
C1_14520W_A	3583.000004443719	3497.99999049145	3577.9999949111	3980.0000126045875	4533.0000129263835	2846.000006852199	3108.000003430272	3455.9999948173763	2402.9999947867936	1802.0000052291055	1496.0000001165158	1487.999998857173	3552.9999917960245	3786.3333326037978	2988.9999965232955	1595.3333324295143
C1_14530W_A	1562.9999967501956	1335.000003169407	1555.9999946222074	1392.0000040054	1240.0000040618042	1331.000003771603	2432.9999916717006	2430.000002538072	3591.9999881955655	1816.0000034100756	1779.0000058361065	2343.999992815009	1484.6666645399098	1320.9999988583454	2818.333336114775	1979.6666713768911
