gene_name	Control_Mean	Treat1_Mean	Treat2_Mean	Treat3_Mean
C1_10860C_A	654.3333334489819	807.3333333483458	682.33333319038	673.0000001817823
C1_10870W_A	47663.00000300092	24071.33340369719	4218.999993509754	5628.333340458275
C1_10880W_A	1020.6666668232785	1516.6666674527405	1898.000003919009	715.3333333157981
C1_10890C_A	1898.000003919009	1364.3333326506174	2968.3333430697435	3160.6666732276085
C1_10910C_A	646.3333331605668	651.3333332217171	894.9999999059412	648.0000000518221
C1_10920W_A	707.9999999592692	593.0000001866088	823.3333334755016	714.3333333554207
C1_10930C_A	1832.0000024165863	1336.3333320091156	1327.999998760156	624.3333331074833
C1_10940C_A	3968.3333348832084	5083.000016036344	8054.333305608518	6242.6666736295665
C1_10950C_A	491.6666668658935	1490.6666644740726	1588.6666716559864	903.3333330076904
C1_10960W_A	672.3333333837552	758.9999997814235	962.0000001533379	682.6666665347211
C1_10970W_A	1066.333335998239	1886.3333315530174	1950.333330496962	886.6666668710818
C1_10980W_A	4	20.000000001561485	35.00000000133512	12.6666666691037
C1_10990C_A	984.9999997653124	1992.333337884425	1864.3333278226	1677.3333378000366
C1_11000C_A	315.99999996120823	437.66666661456895	553.3333331365264	387.6666667332902
C1_11010C_A	669.3333332268041	444.3333332200502	1295.9999974086877	667.9999997805028
C1_11020W_A	335.6666666002106	462.3333331402705	953.9999999963559	280.99999995696913
C1_11030W_A	7153.33330892491	5781.666668860445	2926.3333368230315	310.9999999718462
C1_11040W_A	13109.00004067483	5478.333351383693	1081.0000016974088	973.6666665937626
C1_11050W_A	42.000000006440764	45.33333331670499	107.6666666686989	8.999999997240714
C1_11060C_A	98723.33356735214	42983.33342739876	10214.333296388282	9393.66669743127
C1_11070W_A	415.99999995931626	269.66666672109335	599.9999997937692	135.99999997640097
C1_11080W_A	3866.333337198071	7349.333323230906	7131.333309593481	5728.000010861853
C1_11090C_A	985.6666663939502	1353.9999966447897	2019.0000065334355	1205.6666650498983
C1_11100W_A	808.0000001390109	567.0000000227051	1048.6666705231075	611.0000000767706
C1_11110C_A	560.0000000213622	791.9999999562962	1294.9999976895872	635.3333332501957
C1_11120C_A	2662.3333377158933	1903.0000049147848	3639.6666563079834	2955.6666677528633
C1_11130W_A	287.3333332600526	292.66666670435785	196.99999993768185	101.33333328259067
C1_11140W_A	476.6666666849721	582.0000000369993	903.6666665936594	635.000000149858
C1_11150W_A	974.3333332759977	1466.0000018963342	3378.666670367701	1762.000001318527
C1_11160C_A	502.66666682432503	400.3333333376407	688.0000001420651	441.66666678398917
C1_11170W_A	3975.6666771287205	4167.333343565617	7384.000012049391	7551.6666683438
C1_11180C_A	1.6666666664746577	1.6666666664746577	5.333333332302507	2
C1_11190W_A	1205.3333319180151	800.0000001249188	849.3333330182872	991.666666418174
C1_11200W_A	3827.6666600639246	7167.999989776837	28371.999955656996	33257.33325357408
C1_11210C_A	703.3333333950565	609.3333331910352	814.9999999330917	1058.3333363954937
C1_11220C_A	5424.999991655073	5693.333318389828	4933.9999989735825	2007.999994501159
C1_11230W_A	188.66666665218656	390.0000000676872	609.3333331910352	219.00000006054162
C1_11240C_A	933.0000000958685	1025.6666683641106	2555.0000073939177	6390.333325232827
C1_11250W_A	838.9999997442204	1225.333332851013	1399.9999982218962	2470.0000060401267
C1_11260C_A	2.333333332789181	5.6666666685159575	6.33333333455185	13.666666667643073
C1_11270W_A	1524.6666669937342	31099.666734503175	10429.33333324811	30192.66659844002
C1_11280W_A	430.33333315852855	1644.6666671466432	1439.0000032513533	2387.3333290319692
C1_11290W_A	159.66666666500396	206.666666730688	385.00000011147796	266.00000009196935
C1_11300C_A	585.6666665500691	739.6666669353943	1215.9999970975157	949.3333331719579
C1_11310C_A	2132.666671996478	1846.9999987422405	2354.333332610721	2486.999996178371
C1_11320C_A	1305.9999986000926	15.33333332976376	30.666666659527532	102.00000000201531
C1_11330C_A	5745.333323818572	6593.666666020536	8638.666656208243	6079.333335811547
C1_11340W_A	99.66666670280094	76.33333331345032	198.33333326814997	33.66666666595169
C1_11350C_A	3313.6666694818678	986.9999996877617	458.66666667272585	699.6666668747201
